Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Luke Jacobson","VILL",18,3.1,13.50000032186509,8.100000193119053,1.66666667,2.7000000643730178,0.29411765,0.17647059,0.11764706,0.23076923,1.8000000429153453,0.28571429,0.71428571,8.100000193119053,8.778297722339634,-0.6782975292205808,"Luke Jacobson","sa3066981",
"Zach Todd","DBU",21,13.2,12.512194830913199,11.195121690817073,1.11764706,0.6585365700480631,0.2375,0.2125,0.025,0.3,2.560975550186912,0.425,0.71038251,5.9268291304325675,6.606019209397117,-0.6791900789645497,"Zach Todd","sa3043883",
"Luca Staiano","SJSU",,38.1,4.930434946157536,3.5217392472553835,1.4,1.1739130824184612,0.1147541,0.08196721,0.03278689,0.29813665,1.6434783153858454,0.31851852,0.63492063,6.33913064505969,7.01840516203969,-0.6792745169799996,"Luca Staiano","sa3062938",
"Weston Moss","TA&M",,48,9.375,3.375,2.77777778,0.5625,0.24271845,0.08737864,0.15533981,0.21311475,1.1875,0.27692308,0.74394464,3.1875,3.8680504480997726,-0.6805504480997726,"Weston Moss","sa3038469",
"Max Mendes","CSUN",,41,5.487804878048781,6.804878048780488,0.80645161,1.975609756097561,0.13020833,0.16145833,-0.03125,0.23566879,1.6585365853658536,0.22764228,0.60606061,7.682926829268292,8.365538020250273,-0.682611190981981,"Max Mendes","sa3060016",
"Jake Crews","GAST",22,26.2,10.800000257492071,4.050000096559526,2.66666667,1.0125000241398816,0.27118644,0.10169492,0.16949153,0.28282828,1.5000000357627876,0.390625,0.77102804,4.387500104606154,5.0725096988677985,-0.6850095942616443,"Jake Crews","sa3029558",
"Cooper Montelbano","FDU",,50.1,6.258278303797597,5.364238546112226,1.16666667,0.894039757685371,0.14522822,0.12448133,0.02074689,0.31034483,1.8476821658831,0.35582822,0.64893617,6.794702158408819,7.479893737200882,-0.6851915787920628,"Cooper Montelbano","sa3060069",
"Colton Sneddon","NMSU",,14,6.428571428571429,2.5714285714285716,2.5,1.9285714285714286,0.12195122,0.04878049,0.07317073,0.30985915,1.8571428571428572,0.32758621,0.65972222,7.071428571428571,7.75932937349592,-0.6879008020673485,"Colton Sneddon","sa3066357",
"Matthew Donnison","ILST",21,44,11.454545454545455,5.318181818181818,2.15384615,1.0227272727272727,0.2745098,0.12745098,0.14705882,0.26011561,1.6136363636363635,0.35714286,0.75362319,4.909090909090909,5.598906274275347,-0.6898153651844376,"Matthew Donnison","sa3030465",
"Brendan Murphy","COLU",,27.2,6.831325458189389,2.6024096983578624,2.625,0.9759036368841985,0.16535433,0.06299213,0.10236221,0.28318584,1.445783165754368,0.3258427,0.59808612,5.204819396715725,5.899198904603673,-0.6943795078879482,"Brendan Murphy","sa3066081",
"Nolan Johnson","NDSU",22,87.2,8.110266394967384,2.3612167985348083,3.43478261,0.923954399426664,0.21179625,0.0616622,0.15013405,0.24566474,1.231939199235552,0.29457364,0.6639839,4.517110397197024,5.212932999143819,-0.6958226019467944,"Nolan Johnson","sa3034795",
"Tyler Andrews","MILW",,13.1,8.100000193119053,4.050000096559526,2,2.025000048279763,0.16901408,0.08450704,0.08450704,0.33898305,1.950000046491624,0.38636364,0.71942446,8.100000193119053,8.796936984658245,-0.6969367915391924,"Tyler Andrews","sa3066364",
"Nolan Umlandt","PORT",,39.2,6.352940972818937,4.0840334825264595,1.55555556,1.3613444941754864,0.15730337,0.1011236,0.05617978,0.2516129,1.4369747438519023,0.27272727,0.55970149,5.899159474760441,6.596183613557011,-0.6970241387965705,"Nolan Umlandt","sa3060804",
"Shane Keup","WIN",21,39.2,8.621848463111414,4.310924231555707,2,1.1344537451462386,0.20765027,0.10382514,0.10382514,0.25,1.4621848270773743,0.30088496,0.57627119,5.899159474760441,6.5980786094439265,-0.6989191346834858,"Shane Keup","sa3035323",
"Luca Alagheband","HARV",,25.1,9.947368171406591,7.460526128554943,1.33333333,0.7105262979576137,0.21538462,0.16153846,0.05384615,0.28712871,1.9736841609933713,0.38028169,0.72463768,6.039473532639716,6.739560261525607,-0.700086728885891,"Luca Alagheband","sa3065243",
"Jackson Soucie","SC",21,30,9.6,3.9,2.46153846,2.1,0.24427481,0.09923664,0.14503817,0.24137931,1.3666666666666667,0.27272727,0.69277108,5.4,6.101383781433105,-0.7013837814331048,"Jackson Soucie","sa3062905",
"Dylan Tate","OU",,5,10.8,1.8,6,0,0.3,0.05,0.25,0.22222222,1,0.33333333,0.83333333,1.8,2.5013837814331055,-0.7013837814331054,"Dylan Tate","sa3067523",
"Mason Koch","AUB",22,3,9,3,3,0,0.1875,0.0625,0.125,0.28571429,1.6666666666666667,0.36363636,0.66666667,3,3.701383781433106,-0.7013837814331061,"Mason Koch","sa3035577",
"Bobby Chicoine","BC",,9.1,5.785714482774546,12.535714712678184,0.46153846,0.9642857471290911,0.11111111,0.24074074,-0.12962963,0.2972973,2.5714286590109094,0.33333333,0.71428571,8.67857172416182,9.38024729222668,-0.7016755680648608,"Bobby Chicoine","sa3028838",
"Spencer Dessart","CAL",22,18.2,7.714285977032729,5.785714482774546,1.33333333,1.9285714942581822,0.17977528,0.13483146,0.04494382,0.23684211,1.6071429118818186,0.25,0.66929134,6.267857356339092,6.9695329244039534,-0.7016755680648616,"Spencer Dessart","sa3030204",
"Rory Fox","ND",,65.1,8.816326187432496,3.7193876103230843,2.37037037,0.41326529003589824,0.22857143,0.09642857,0.13214286,0.18333333,1.0867346515758807,0.23699422,0.67669173,3.5816325136444513,4.283308308485001,-0.7016757948405496,"Rory Fox","sa3031610",
"Jett Slepak","AKR",21,17,6.882352941176471,7.9411764705882355,0.86666667,2.1176470588235294,0.14772727,0.17045455,-0.02272727,0.26470588,1.9411764705882353,0.2745098,0.64814815,9,9.701773778130026,-0.7017737781300255,"Jett Slepak","sa3042431",
"Stephen Katch","MSM",,9,3,5,0.6,0,0.06976744,0.11627907,-0.04651163,0.20588235,1.3333333333333333,0.22580645,0.5625,6,6.702137978871663,-0.7021379788716633,"Stephen Katch","sa3035108",
"Kaden Kimble","MSM",,21,7.714285714285714,8.571428571428571,0.9,0.42857142857142855,0.16513761,0.18348624,-0.01834862,0.30588235,2.1904761904761907,0.37878788,0.61728395,6,6.702137978871663,-0.7021379788716633,"Kaden Kimble","sa3066072",
"Harrison Thayer","RGV",,50,7.02,3.6,1.95,1.08,0.17808219,0.0913242,0.08675799,0.26153846,1.42,0.3,0.72072072,4.86,5.562404766082764,-0.7024047660827639,"Harrison Thayer","sa3060732",
"Ethan Salak","STET",22,12.2,8.526315575491363,2.8421051918304547,3,0.7105262979576137,0.22641509,0.0754717,0.1509434,0.2826087,1.3421052294754925,0.36363636,0.75268817,4.263157787745682,4.966693246001353,-0.7035354582556712,"Ethan Salak","sa3060459",
"Luc Lavigueur","ME",21,24.2,6.567567736846505,7.662162359654255,0.85714286,0.7297297485385005,0.14173228,0.16535433,-0.02362205,0.25742574,1.905405454517196,0.2962963,0.56910569,6.567567736846505,7.272217032890238,-0.7046492960437325,"Luc Lavigueur","sa3036055",
"Calvin Proskey","UCSB",,66.2,9.585000365638747,2.2950000875473062,4.17647059,0.9450000360488905,0.24738676,0.05923345,0.18815331,0.24714829,1.2300000469207781,0.31351351,0.68181818,3.780000144195562,4.485416081047059,-0.7054159368514967,"Calvin Proskey","sa3040243",
"Jakob Guardado","PAC",23,58.2,6.136363503361539,3.0681817516807697,2,1.9943181385925002,0.15037594,0.07518797,0.07518797,0.27848101,1.4659090591363677,0.28804348,0.625,6.596590766113655,7.3020659750158154,-0.7054752089021603,"Jakob Guardado","sa3032808",
"John Damozonio","SMC",,53.2,7.378881812744098,4.024844625133144,1.83333333,1.509316734424929,0.16541353,0.09022556,0.07518797,0.31441048,1.7888198333925085,0.35795455,0.64315353,6.204968797080264,6.910761630403138,-0.7057928333228736,"John Damozonio","sa3029808",
"Jacob Roettgen","TROY",,18,7,3,2.33333333,0.5,0.16470588,0.07058824,0.09411765,0.24,1.3333333333333333,0.28333333,0.60150376,4,4.7058430035909025,-0.7058430035909025,"Jacob Roettgen","sa3041030",
"Joseph Trombley","SHU",,84.2,5.527559221149331,3.6141733369053317,1.52941176,0.7440945105393331,0.13402062,0.08762887,0.04639175,0.27793696,1.5472441409627402,0.31034483,0.6022187,4.889763926401331,5.597151139127071,-0.7073872127257399,"Joseph Trombley","sa3044075",
"Lleyton Grubich","CAM",20,44.1,5.8872182139695886,3.2481203939142556,1.8125,0.40601504923928194,0.14948454,0.08247423,0.06701031,0.25862069,1.3759398890886776,0.3006993,0.67524116,4.2631580170124606,4.9708707287889915,-0.707712711776531,"Lleyton Grubich","sa3059370",
