Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Andrew Petrowski","BAY",,1,1,5.142857142857143,15,0,0,0,0,14,68,19,10,8,2,8,0,1,0,12,"Andrew Petrowski","sa3039822",
"Ryan Pittz","ALB",,0,3,9.818181477696454,5,4,0,0,0,18.1,97,33,24,20,3,7,2,0,0,12,"Ryan Pittz","sa3039971",
"Tade Riordan","NJIT",,1,1,6.230769413603839,14,0,0,0,0,21.2,111,30,21,15,4,15,3,4,0,12,"Tade Riordan","sa3040785",
"Trey Sanders","SAM",,1,1,5.949152734696751,15,0,0,0,1,19.2,89,18,14,13,2,12,2,7,0,12,"Trey Sanders","sa3041510",
"Avery Seaton","AAMU",,0,6,14.326530054577805,10,8,0,0,0,32.2,192,62,61,52,7,23,9,4,0,12,"Avery Seaton","sa3041899",
"Hunter Shuey","UNCG",,1,6,13.292308082354856,13,5,0,0,0,21.2,130,33,36,32,2,22,13,7,0,12,"Hunter Shuey","sa3042227",
"Chris Sleeper","BING",22,2,1,5.744680734498841,14,1,0,0,0,15.2,72,17,10,10,2,9,1,0,0,12,"Chris Sleeper","sa3042425",
"Gavin Smith","TULN",,0,0,6.893616881398609,19,0,0,0,0,15.2,70,13,12,12,4,10,5,6,0,12,"Gavin Smith","sa3042553",
"Teo Spadaccini","YALE",20,1,1,8.526315575491363,10,0,0,0,0,12.2,59,11,12,12,1,6,4,3,0,12,"Teo Spadaccini","sa3042791",
"Kaden Taque","CAL",20,0,1,5.192307501854988,9,0,0,0,0,8.2,44,9,8,5,0,4,3,1,0,12,"Kaden Taque","sa3043507",
"Joey Valentine","WRST",21,2,0,4.8,13,0,0,0,0,15,77,12,11,8,2,14,5,1,0,12,"Joey Valentine","sa3044296",
"Lance Wade","WIN",,0,1,7.269230502596984,5,3,0,0,0,8.2,41,7,7,7,2,6,1,1,0,12,"Lance Wade","sa3044610",
"Augie Walters","HC",,1,2,7.363636363636363,10,0,0,0,0,11,60,15,10,9,1,12,2,2,0,12,"Augie Walters","sa3044740",
"Carson Wehner","ELON",,0,2,11.117647058823529,19,0,0,0,1,17,93,35,25,21,5,6,0,2,0,12,"Carson Wehner","sa3044945",
"Jack Whitlock","IOWA",,0,0,4.021276514149188,13,0,0,0,0,15.2,64,12,9,7,3,4,3,2,0,12,"Jack Whitlock","sa3045146",
"Ben Williams","SPU",22,2,0,12.193548762215299,8,0,0,0,1,10.1,54,8,14,14,3,13,3,1,0,12,"Ben Williams","sa3045251",
"Jaxton Andeel","UCI",,0,0,4.628571302452869,10,0,0,0,0,11.2,59,11,7,6,0,9,5,3,0,12,"Jaxton Andeel","sa3058492",
"Jackson Bell","UTU",,0,2,12.825000305771836,13,1,0,0,0,13.1,73,14,21,19,2,16,4,5,0,12,"Jackson Bell","sa3058606",
"Beau Bryans","ALA",21,1,0,10,13,0,0,0,0,9,58,13,12,10,0,15,3,2,0,12,"Beau Bryans","sa3058754",
"Cayden Byers","UNLV",,0,0,21.09374937135728,8,0,0,0,0,10.2,70,20,27,25,2,13,5,0,0,12,"Cayden Byers","sa3058786",
"Jaxon Christensen","ALST",,1,2,15.910714827630002,11,4,0,0,0,18.2,113,32,35,33,4,20,9,6,0,12,"Jaxon Christensen","sa3058863",
"Kenyon Collins","MRSH",19,0,1,12.886363357059233,13,4,0,0,0,14.2,84,25,23,21,0,13,3,5,0,12,"Kenyon Collins","sa3058906",
"Chris Daniels","NMSU",19,0,2,12.960000494384785,12,4,0,0,0,16.2,88,27,24,24,6,13,2,1,0,12,"Chris Daniels","sa3058984",
"Kai Decker","MER",,0,0,4.050000096559526,5,0,0,0,0,6.2,29,6,3,3,0,2,1,0,0,12,"Kai Decker","sa3059021",
"Will Fox","FAIR",,1,2,7.363636204033847,14,0,0,0,1,14.2,77,20,13,12,2,10,2,1,0,12,"Will Fox","sa3059219",
"Hunter Frost","VAL",,0,0,5.522727153025385,13,0,0,0,0,14.2,78,12,11,9,2,20,2,2,0,12,"Hunter Frost","sa3059242",
"Nick Gisclair","SELA",,2,1,5.906249823980039,12,0,0,0,1,10.2,49,10,8,7,1,9,0,2,0,12,"Nick Gisclair","sa3059306",
"Brent Godina","UCR",,0,0,12.214285714285714,15,0,0,0,1,14,86,19,20,19,1,17,8,2,0,12,"Brent Godina","sa3059309",
"Julien Hernandez","ORE",23,1,1,7.2,8,2,0,0,0,10,48,9,9,8,0,8,3,2,0,12,"Julien Hernandez","sa3059478",
"Garrett Holpuch","TNTC",,0,2,11.659090656386924,12,3,0,0,1,14.2,78,24,19,19,6,10,2,1,0,12,"Garrett Holpuch","sa3059515",
"Samuel Janik","BUCK",,1,3,9.857142857142858,13,1,0,0,0,21,112,29,26,23,3,20,4,4,0,12,"Samuel Janik","sa3059582",
"Robbie Knowles","KU",,0,0,10.968749673105785,16,0,0,0,0,10.2,58,9,13,13,1,11,5,0,0,12,"Robbie Knowles","sa3059706",
"Seth McCartney","MIZ",,0,0,23.727272727272727,10,0,0,0,0,11,79,27,29,29,2,12,9,3,0,12,"Seth McCartney","sa3059957",
"Marcus McMillan","PV",,0,2,13.75471747613286,11,3,0,0,0,17.2,106,18,29,27,2,25,10,7,2,12,"Marcus McMillan","sa3059997",
"Jack McWilliams","USD",,0,0,16.874999497085824,14,0,0,0,0,10.2,70,20,21,20,2,12,7,3,0,12,"Jack McWilliams","sa3060004",
"Mikey Plummer","NAVY",,0,2,4.5,9,4,0,0,1,24,115,21,16,12,1,18,7,4,0,12,"Mikey Plummer","sa3060281",
"Christian Pownall","SLU",,1,1,8.694915535326022,14,3,0,0,0,19.2,103,23,21,19,5,20,2,4,0,12,"Christian Pownall","sa3060299",
"Park Roeder","COPP",,0,2,20.24999956109308,11,1,0,0,0,14.2,111,31,44,33,3,32,5,13,0,12,"Park Roeder","sa3060409",
"Jaxson Ross","SBU",,1,3,9,8,6,0,0,0,21,115,27,28,21,5,26,3,4,0,12,"Jaxson Ross","sa3060428",
"Ethan Salak","STET",22,0,1,4.263157787745682,10,0,0,0,2,12.2,53,13,6,6,1,4,3,0,0,12,"Ethan Salak","sa3060459",
"Matthew Shorey","VAN",,2,0,5.268292560384505,14,0,0,0,0,13.2,59,10,8,8,2,4,4,0,1,12,"Matthew Shorey","sa3060569",
"Glenn Smith","RICH",,2,0,7.448275617130029,13,2,0,0,1,19.1,94,24,18,16,4,12,4,1,0,12,"Glenn Smith","sa3060611",
"Kaden Smith","TCU",,1,0,5.25,14,0,0,0,0,12,57,12,9,7,3,6,3,0,0,12,"Kaden Smith","sa3060619",
"Miles Smith","KSU",22,0,0,19.285714285714285,8,0,0,0,0,7,45,15,15,15,2,7,3,1,0,12,"Miles Smith","sa3060622",
"Jace Trautner","LIP",,0,0,10.125,15,0,0,0,0,16,87,25,28,18,3,8,5,2,0,12,"Jace Trautner","sa3060784",
"Kyle Winkler","UTA",,0,0,7.8,13,0,0,0,0,15,69,21,13,13,4,2,2,1,0,12,"Kyle Winkler","sa3060944",
