Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Josh Livingston","WICH",,258,0.108527131,0.213178294,0.509090909,0.284360189,0.403100775,0.554502369,0.957603144,0.27014218,3.2258321472649625,0.3125,-0.9849329441785812,53.15071100435134,11.993505243872372,0.428211231102315,129.14071794297826,"Josh Livingston","sa3036412",
"Bobby Boser","FLA",22,287,0.097560975,0.25087108,0.388888888,0.336134453,0.436619718,0.613445378,1.050065096,0.277310925,6.317215060269096,0.413333333,1.2191113866865635,68.53672687369375,15.464841392216968,0.4542202416440131,129.13942335365968,"Bobby Boser","sa3027420",
"Cermodrick Bland","SFA",,148,0.141891891,0.202702702,0.7,0.355932203,0.455172413,0.457627118,0.912799531,0.101694915,6.898928346549537,0.449438202,1.250849827658385,31.26833970489961,7.0490760916755795,0.4367937671727148,129.10524532969984,"Cermodrick Bland","sa3058658",
"Diego Castellanos","SMC",,253,0.130434782,0.158102766,0.825,0.311004784,0.413654618,0.488038277,0.901692895,0.177033493,6.355536308058544,0.349693251,0.622351321624592,49.99196694939981,11.264637963470316,0.4150405787081125,129.08705107848522,"Diego Castellanos","sa3028606",
"Kameron Edwards","LIN",22,238,0.159663865,0.151260504,1.055555555,0.32642487,0.444444444,0.47150259,0.915947034,0.14507772,7.452983608774016,0.385620915,-0.6549504399299622,51.59645093743883,11.620845986057144,0.43224693439964557,129.0698439715682,"Kameron Edwards","sa3030815",
"Caleb Shpur","CONN",23,278,0.082733812,0.118705035,0.696969696,0.3625,0.430147058,0.529166666,0.959313724,0.166666666,8.918597007538848,0.393034825,3.5587421357631683,61.39130963071791,13.824596744622868,0.44007198096198197,129.06359490875005,"Caleb Shpur","sa3042222",
"Brayden Dowd","USC",20,279,0.164874551,0.154121863,1.069767441,0.324444444,0.445652173,0.524444444,0.970096617,0.2,3.059954723481294,0.364161849,-1.5116270361468196,62.895428953028045,14.159523380256013,0.4420096070870109,129.0535760315629,"Brayden Dowd","sa3030520",
"Jordan Bach","SIU",22,279,0.17204301,0.125448028,1.371428571,0.309090909,0.431654676,0.563636363,0.995291039,0.254545454,7.309751327567383,0.316666666,0.9017658904194832,62.101071611377314,13.97590824994715,0.43665644505041107,129.04074973207906,"Jordan Bach","sa3026356",
"Jackson Haker","CCSU",,136,0.154411764,0.235294117,0.65625,0.293577981,0.419117647,0.550458715,0.969576362,0.256880734,3.57763974625,0.347222222,-0.1730250120162964,29.23806280004502,6.577823699588783,0.434724852004472,129.02804189500517,"Jackson Haker","sa3066062",
"Brady Bean","PORT",,252,0.119047619,0.154761904,0.769230769,0.309859154,0.410358565,0.492957746,0.903316311,0.183098592,5.006426119905432,0.343373493,1.2193880486302078,49.76802942001163,11.193772880666842,0.4149318270949254,129.01876506485476,"Brady Bean","sa3026793",
"Austin Lemon","VILL",21,177,0.129943502,0.107344632,1.210526315,0.361702127,0.474285714,0.39716312,0.871448834,0.035460993,2.996394621333284,0.411290322,-1.9492538617923856,39.05184580433719,8.766564578298254,0.4398744239125933,128.94661770801346,"Austin Lemon","sa3059795",
"Chris McHugh","NCSU",19,236,0.097457627,0.169491525,0.575,0.365482233,0.461864406,0.532994923,0.994859329,0.16751269,2.7834345349283702,0.427631578,-1.7030385304242373,55.754802036759735,12.482317853448276,0.45372785451048514,128.84585456330754,"Chris McHugh","sa3037627",
"Reese Moore","IOWA",21,241,0.145228215,0.219917012,0.660377358,0.304123711,0.435684647,0.546391752,0.982076399,0.242268041,5.785136474204286,0.375939849,-0.1246918486431241,54.23448478819589,12.136444490568445,0.44159819451605137,128.82900107645256,"Reese Moore","sa3038310",
