Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Jake Howlett","MONM",,32,0.1875,0.28125,0.666666666,0.307692307,0.4375,0.5,0.9375,0.192307693,2.64285714,0.4375,-0.0944497874006629,7.126856424285142,1.8307000178825548,0.43407067283988,134.5665776726193,"Jake Howlett","sa3066067",
"Lorenzo Meola","STET",21,256,0.11328125,0.1796875,0.630434782,0.328828828,0.40625,0.536036036,0.942286036,0.207207208,6.5627623216653586,0.369047619,0.43461780063807964,51.289070288971914,13.122112433747306,0.42535850568674505,134.38081830761118,"Lorenzo Meola","sa3037876",
"Jason Lazo","TXSO",,74,0.229729729,0.108108108,2.125,0.283018867,0.479452054,0.452830188,0.932282242,0.169811321,4.184848067122647,0.318181818,0.022618059068918228,18.466524744540035,4.7237367873485665,0.4632015032311008,134.3724781468136,"Jason Lazo","sa3036093",
"Ty Borgogno","LBSU",,4,0.25,0,1,0.5,0.5,0.5,1,0,2.64285714,0.333333333,0.003937087021768093,0.826562881383825,0.21141469470017024,0.43729160726070404,134.3680919942128,"Ty Borgogno","sa3027401",
"Jose Pacheco Perez","LBSU",,4,0.25,0,1,0.333333333,0.5,0.333333333,0.833333333,0,2.64285714,0.333333333,0.003937087021768093,0.826562881383825,0.21141469470017024,0.43729160726070404,134.3680919942128,"Jose Pacheco Perez","sa3067499",
"Austin Smith","USD",22,250,0.064,0.068,0.94117647,0.353211009,0.412,0.527522935,0.939522935,0.174311926,5.79989851675189,0.35323383,0.8193354574032128,51.41205983835564,13.143948192180252,0.423417519569397,134.3469996996674,"Austin Smith","sa3042481",
"Slate Alford","UGA",22,293,0.133105802,0.170648464,0.78,0.330578512,0.440273037,0.64876033,1.089033367,0.318181818,5.755241124621471,0.348571428,-0.26955174654722214,72.79037669175976,18.60897444063538,0.46449056928882015,134.34568628250886,"Slate Alford","sa3025895",
"Kyle Lodise","GT",21,266,0.127819548,0.176691729,0.723404255,0.328767123,0.428571428,0.666666666,1.095238094,0.337899543,8.772561485981193,0.347826086,1.8752858126536012,65.49902761419727,16.725803916058076,0.4642175855045032,134.29300474287948,"Kyle Lodise","sa3059833",
"Thomas Kendrick","SPU",20,221,0.135746606,0.104072398,1.304347826,0.355555555,0.456621004,0.444444444,0.901065448,0.088888889,5.933374257248617,0.392405063,-1.4036364615894854,48.1849956677774,12.302286879859313,0.438940247988592,134.28472179336015,"Thomas Kendrick","sa3059662",
"Ben Fishel","COLU",,123,0.154471544,0.170731707,0.904761904,0.305263157,0.44262295,0.410526315,0.853149265,0.105263158,6.5743780332780055,0.364864864,-1.6975409707520157,24.78029503490298,6.326020112293651,0.41810559249315105,134.2794292315614,"Ben Fishel","sa3065296",
"Sam Gates","GW",22,231,0.121212121,0.207792207,0.583333333,0.34574468,0.456521739,0.531914893,0.988436632,0.186170213,4.921677059726437,0.425373134,-0.0426441989839077,55.09865314666952,14.036126413986342,0.45671375056971675,134.18232517779882,"Sam Gates","sa3032048",
"Carl Sullivan","TXSO",,10,0.2,0.1,2,0.285714285,0.444444444,0.571428571,1.015873015,0.285714286,7.5,0.333333333,0.1873298641294241,2.491929466139445,0.6347959584108687,0.46289099587334526,134.181492917398,"Carl Sullivan","sa3060690",
"Matthew Russo","USM",22,300,0.1,0.183333333,0.545454545,0.289795918,0.406666666,0.563265306,0.969931972,0.273469388,2.85219448375,0.301136363,-0.1535782366991043,62.38936465746406,15.882994053425817,0.4321596759557724,134.1522975178086,"Matthew Russo","sa3041345",
"Easton Fritcher","STMN",21,83,0.036144578,0.228915662,0.157894736,0.269841269,0.409638554,0.507936507,0.917575061,0.238095238,7.723796396016979,0.333333333,0.27164421416819096,16.647466960459603,4.228412347942248,0.42162266050476627,134.04777964081393,"Easton Fritcher","sa3031733",
"TJ Grines","UTM",,98,0.091836734,0.091836734,1,0.363636363,0.422680412,0.556818181,0.979498593,0.193181818,10,0.389610389,2.25237075984478,22.049418689124828,5.5888754738500195,0.4405753839876234,133.95316546214426,"TJ Grines","sa3062843",
"Cole Fellows","COLU",21,214,0.112149532,0.14953271,0.75,0.32596685,0.411214953,0.497237569,0.908452522,0.171270719,5.211778161369434,0.364864864,-0.25745069328695536,43.00757884953959,10.90014117930873,0.4175900958965872,133.94896002372383,"Cole Fellows","sa3031229",
"Jaylen Hernandez","WIN",,294,0.146258503,0.112244897,1.303030303,0.313636363,0.469387755,0.486363636,0.955751391,0.172727273,7.018141847357177,0.342245989,0.06961094960570335,73.4020459292917,18.59635960445689,0.45299608285735254,133.93144188403323,"Jaylen Hernandez","sa3033679",
"Emilio Barreras","GCU",21,196,0.137755102,0.035714285,3.857142857,0.358490566,0.461538461,0.484276729,0.94581519,0.125786163,4.326262963526798,0.355263157,-0.25984661653637886,43.90718198316677,11.123531525307738,0.4468212308027805,133.9301187328306,"Emilio Barreras","sa3026631",
"Jack Natili","CIN",,244,0.122950819,0.217213114,0.566037735,0.338383838,0.450819672,0.555555555,1.006375227,0.217171717,4.940695824413187,0.417266187,0.16133019514381886,56.99074285707662,14.434542770006146,0.44867114576159933,133.9187773825504,"Jack Natili","sa3060122",
